Experiment #,Timestamp,temperature,residence_time,pressure,Measurement,Yield
1,2025-07-07 12:06:03,60.84443440871049,38.34347898661638,3.559382000545539,71.32426303333334,71.32426303333334
2,2025-07-07 12:21:29,51.858257107591925,64.58327528535912,2.199949831636006,71.878922,71.878922
3,2025-07-07 12:37:15,45.66620013846403,53.37086111390219,2.2857336358438816,74.28796490000002,74.28796490000002
4,2025-07-07 12:45:35,54.289981282698385,25.641157902710027,3.4439975445336497,74.09626843333334,74.09626843333334
5,2025-07-07 12:54:03,67.23487190570876,20.077876584101432,3.9844231185824355,76.3172547,76.3172547
6,2025-07-07 13:13:48,52.786667933247244,81.1653160488281,2.014132610439435,83.2201421,83.2201421
7,2025-07-07 13:40:18,26.03780912686371,72.47746602583894,2.7997219434305114,80.63710730000001,80.63710730000001
8,2025-07-07 14:01:01,27.099954844612693,117.37555188414593,2.4655426808606085,84.07526613333333,84.07526613333333
9,2025-07-07 14:17:05,29.077289553976936,81.83860093330874,2.7649239825343255,79.69200413333333,79.69200413333333
10,2025-07-07 14:40:51,69.24538986130548,66.676289324798,3.7198808134726415,82.92260766666666,82.92260766666666
11,2025-07-07 15:06:35,48.11249668846297,87.79109525419179,2.5144278894842613,83.07582933333335,83.07582933333335
12,2025-07-07 15:34:23,33.310345523289854,119.62259926268938,3.785774171878361,85.4020079,85.4020079
13,2025-07-07 15:50:14,70.0,20.0,3.8278055068477745,73.0840544,73.0840544
14,2025-07-07 16:06:59,70.0,105.62005661607334,4.0,84.49952403333334,84.49952403333334
15,2025-07-07 16:25:59,70.0,120.0,4.0,81.6091498,81.6091498
16,2025-07-07 16:43:20,70.0,109.07030260578782,2.0,82.90446003333334,82.90446003333334
