Experiment #,Timestamp,temperature,residence_time,pressure,Measurement,Yield,Source
1,Reused,36.9481448029035,23.66869579732328,3.559382000545539,102.58920942023246,102.58920942023246,Reused:EDA_Test2#0
2,Reused,33.952752369197306,28.916655057071825,2.199949831636006,86.50109649366127,86.50109649366127,Reused:EDA_Test2#1
3,Reused,31.88873337948801,26.67417222278044,2.2857336358438816,95.5032312578098,95.5032312578098,Reused:EDA_Test2#2
4,2025-10-13 13:19:26,79.6560443700367,55.11027518016419,8.86878335929106,369.3597821100224,369.3597821100224,
5,2025-10-13 13:19:27,72.76312261534275,27.534187831011963,9.804978813094047,400.0,400.0,
6,2025-10-13 13:19:28,81.68886881742098,34.67478318929311,8.237528002182156,390.68509708762116,390.68509708762116,
7,2025-10-13 13:19:29,63.71651421518384,55.6666202282873,2.799799326544023,366.29853219472596,366.29853219472596,
8,2025-10-13 13:19:30,51.332400276928055,46.69668889112175,3.1429345433755262,371.9798790415594,371.9798790415594,
9,2025-10-13 13:19:31,68.57996256539677,24.51292632216802,7.775990178134599,400.0,400.0,
10,2025-10-13 13:19:33,94.46974381141753,20.062301267281146,9.937692474329742,400.0,400.0,
11,2025-10-13 13:19:34,88.56650329725845,20.0,2.0,400.0,400.0,
12,2025-10-13 13:19:35,57.13137012330985,20.0,10.0,400.0,400.0,
13,2025-10-13 13:19:36,100.0,100.0,2.000000000000001,300.0,300.0,
14,2025-10-13 13:19:37,76.94891237966446,20.0,2.0,400.0,400.0,
15,2025-10-13 13:19:39,10.0,100.0,10.0,300.0,300.0,
16,2025-10-13 13:19:40,71.42532342004183,20.0,10.0,400.0,400.0,
17,2025-10-13 13:19:41,100.0,20.0,2.0,400.0,400.0,
