Iteration,Timestamp,temperature,ratio_org_aq,residence_time,Measurement #,Value
0,2026-01-22 15:43:59,22.477532783143094,0.9807246197252679,148.44183123635446,1,0.302698308056
0,2026-01-22 15:43:59,22.477532783143094,0.9807246197252679,148.44183123635446,2,0.299376360417
0,2026-01-22 15:43:59,22.477532783143094,0.9807246197252679,148.44183123635446,3,0.279497782485
0,2026-01-22 15:43:59,22.477532783143094,0.9807246197252679,148.44183123635446,4,0.279604734886
0,2026-01-22 15:43:59,22.477532783143094,0.9807246197252679,148.44183123635446,5,0.26630490195400003
0,2026-01-22 16:25:53,22.477532783143094,0.9807246197252679,67.37673249454178,1,2.42246842
0,2026-01-22 16:25:53,22.477532783143094,0.9807246197252679,67.37673249454178,2,2.41444969
0,2026-01-22 16:25:53,22.477532783143094,0.9807246197252679,67.37673249454178,3,2.52714515
0,2026-01-22 16:41:48,29.508209267832193,1.4814916447243498,76.69915579966477,1,2.20679426
0,2026-01-22 16:41:48,29.508209267832193,1.4814916447243498,76.69915579966477,2,2.20679426
0,2026-01-22 16:41:48,29.508209267832193,1.4814916447243498,76.69915579966477,3,2.25449777
0,2026-01-22 16:50:40,34.92284304125377,1.3230284825076524,27.471553838139258,1,2.12106347
0,2026-01-22 16:50:40,34.92284304125377,1.3230284825076524,27.471553838139258,2,2.2666533
0,2026-01-22 16:50:40,34.92284304125377,1.3230284825076524,27.471553838139258,3,2.41081476
0,2026-01-22 16:50:40,34.92284304125377,1.3230284825076524,27.471553838139258,4,2.3436296
