Iteration,Timestamp,temperature,residence_time,pressure,Measurement #,Value
0,2025-07-09 11:27:23,60.84443440871049,38.34347898661638,3.559382000545539,1,0.834751308
0,2025-07-09 11:27:23,60.84443440871049,38.34347898661638,3.559382000545539,2,0.84024024
0,2025-07-09 11:27:23,60.84443440871049,38.34347898661638,3.559382000545539,3,0.87281239
0,2025-07-09 11:42:34,51.858257107591925,64.58327528535912,2.199949831636006,1,0.885649502
0,2025-07-09 11:42:34,51.858257107591925,64.58327528535912,2.199949831636006,2,0.899176717
0,2025-07-09 11:42:34,51.858257107591925,64.58327528535912,2.199949831636006,3,0.89874202
0,2025-07-09 11:55:10,45.66620013846403,53.37086111390219,2.2857336358438816,1,0.947726429
0,2025-07-09 11:55:10,45.66620013846403,53.37086111390219,2.2857336358438816,2,0.947726429
0,2025-07-09 11:55:10,45.66620013846403,53.37086111390219,2.2857336358438816,3,0.95628345
0,2025-07-09 12:03:29,54.289981282698385,25.641157902710027,3.4439975445336497,1,0.904416144
0,2025-07-09 12:03:29,54.289981282698385,25.641157902710027,3.4439975445336497,2,0.91564405
0,2025-07-09 12:03:29,54.289981282698385,25.641157902710027,3.4439975445336497,3,0.914920747
0,2025-07-09 12:11:52,67.23487190570876,20.077876584101432,3.9844231185824355,1,0.925558984
0,2025-07-09 12:11:52,67.23487190570876,20.077876584101432,3.9844231185824355,2,0.93885392
0,2025-07-09 12:11:52,67.23487190570876,20.077876584101432,3.9844231185824355,3,0.948719263
0,2025-07-09 13:14:41,52.786667933247244,81.1653160488281,2.014132610439435,1,0.918626547
0,2025-07-09 13:14:41,52.786667933247244,81.1653160488281,2.014132610439435,2,0.931034327
0,2025-07-09 13:14:41,52.786667933247244,81.1653160488281,2.014132610439435,3,0.934633613
0,2025-07-09 13:41:30,26.03780912686371,72.47746602583894,2.7997219434305114,1,0.908978522
0,2025-07-09 13:41:30,26.03780912686371,72.47746602583894,2.7997219434305114,2,0.902045786
0,2025-07-09 13:41:30,26.03780912686371,72.47746602583894,2.7997219434305114,3,0.906489134
0,2025-07-09 14:04:19,27.099954844612693,117.37555188414593,2.4655426808606085,1,0.913191736
0,2025-07-09 14:04:19,27.099954844612693,117.37555188414593,2.4655426808606085,2,0.915750623
0,2025-07-09 14:04:19,27.099954844612693,117.37555188414593,2.4655426808606085,3,0.9191553
0,2025-07-09 14:20:47,29.077289553976936,81.83860093330874,2.7649239825343255,1,0.903703392
0,2025-07-09 14:20:47,29.077289553976936,81.83860093330874,2.7649239825343255,2,0.900867224
0,2025-07-09 14:20:47,29.077289553976936,81.83860093330874,2.7649239825343255,3,0.903773189
0,2025-07-09 14:42:47,69.24538986130548,66.676289324798,3.7198808134726415,1,0.971093237
0,2025-07-09 14:42:47,69.24538986130548,66.676289324798,3.7198808134726415,2,0.965971768
0,2025-07-09 14:42:47,69.24538986130548,66.676289324798,3.7198808134726415,3,0.964210272
0,2025-07-09 14:55:24,66.62790504935877,53.69281936084454,3.7427513751116486,1,0.976172447
0,2025-07-09 14:55:24,66.62790504935877,53.69281936084454,3.7427513751116486,2,0.978565991
0,2025-07-09 14:55:24,66.62790504935877,53.69281936084454,3.7427513751116486,3,0.962769866
0,2025-07-09 15:22:57,37.93492677811754,84.52405976855518,3.787784412509642,1,0.904444396
0,2025-07-09 15:22:57,37.93492677811754,84.52405976855518,3.787784412509642,2,0.908657074
0,2025-07-09 15:22:57,37.93492677811754,84.52405976855518,3.787784412509642,3,0.910416842
0,2025-07-09 15:50:40,70.0,119.38445364328655,3.755967892825582,1,0.909015179
0,2025-07-09 15:50:40,70.0,119.38445364328655,3.755967892825582,2,0.920904636
0,2025-07-09 15:50:40,70.0,119.38445364328655,3.755967892825582,3,0.920222759
0,2025-07-09 15:58:24,70.0,45.05781015864383,3.7281936050549587,1,0.96948123
0,2025-07-09 15:58:24,70.0,45.05781015864383,3.7281936050549587,2,0.966618717
0,2025-07-09 15:58:24,70.0,45.05781015864383,3.7281936050549587,3,0.967824638
0,2025-07-09 16:12:08,61.06112415821958,51.668961391249155,3.725586122691552,1,0.954877019
0,2025-07-09 16:12:08,61.06112415821958,51.668961391249155,3.725586122691552,2,0.959216118
0,2025-07-09 16:12:08,61.06112415821958,51.668961391249155,3.725586122691552,3,0.964713633
0,2025-07-10 10:08:32,70.0,46.599437326463836,3.7667229448953465,1,0.915698826
0,2025-07-10 10:08:32,70.0,46.599437326463836,3.7667229448953465,2,0.919871449
0,2025-07-10 10:08:32,70.0,46.599437326463836,3.7667229448953465,3,0.912375271
0,2025-07-10 10:15:32,67.27743731489399,20.0,3.739092614118088,1,0.922007382
0,2025-07-10 10:15:32,67.27743731489399,20.0,3.739092614118088,2,0.931292474
0,2025-07-10 10:15:32,67.27743731489399,20.0,3.739092614118088,3,0.939739823
0,2025-07-10 10:28:40,70.0,61.00349260722685,3.735443971049693,1,0.900908172
0,2025-07-10 10:28:40,70.0,61.00349260722685,3.735443971049693,2,0.90798831
0,2025-07-10 10:28:40,70.0,61.00349260722685,3.735443971049693,3,0.913340986
0,2025-07-10 10:42:02,60.775256638925974,53.07299139654879,4.0,1,0.934584081
0,2025-07-10 10:42:02,60.775256638925974,53.07299139654879,4.0,2,0.93134588
0,2025-07-10 10:42:02,60.775256638925974,53.07299139654879,4.0,3,0.930126727
0,2025-07-10 10:54:43,68.29426324877906,54.18384542414955,2.5544514374385225,1,0.93989104
0,2025-07-10 10:54:43,68.29426324877906,54.18384542414955,2.5544514374385225,2,0.94648993
