Iteration,Timestamp,temperature,pressure,residence_time,Measurement #,Value
0,2025-10-23 15:17:47,30.444949280842962,3.1575592697425443,212.55831224857963,1,3.0
0,2025-10-23 15:17:48,26.454345377527314,3.332405246729026,219.18350173824672,1,3.0
0,2025-10-23 15:17:50,50.0,4.019736157673516,217.55533147580826,1,3.0
0,2025-10-23 15:17:52,47.60458015544386,2.0,215.90056334800914,1,3.0
0,2025-10-23 15:17:53,50.0,6.0,233.17570620545612,1,3.0
0,2025-10-23 15:17:55,20.0,2.0,244.6190406636789,1,3.0
0,2025-10-23 15:17:57,20.25477779697837,2.0,235.09208255786473,1,3.0
0,2025-10-23 15:17:59,20.0,6.0,263.7528141536653,1,3.0
0,2025-10-23 15:18:00,23.238657109640382,2.0,285.64627280427015,1,3.0
0,2025-10-23 15:18:02,50.0,6.0,309.00964416128795,1,3.0
0,2025-10-23 15:18:03,50.0,6.0,298.3474235238787,1,3.0
