Time,BKK_P.VOLT
,Average
,
,V
05.12.2025 09:27:56.743,  0.0
05.12.2025 09:28:00.663,  0.0
05.12.2025 09:28:04.663,  0.0
05.12.2025 09:28:08.653,  0.0
05.12.2025 09:28:12.663,  0.0
05.12.2025 09:28:16.653,  0.0
05.12.2025 09:28:20.743,  0.0
05.12.2025 09:28:24.653,  0.0
05.12.2025 09:28:28.653,  0.0
05.12.2025 09:28:32.743,  0.0
05.12.2025 09:28:36.664,  0.0
05.12.2025 09:28:40.664,  0.0
05.12.2025 09:28:44.783,  0.0
05.12.2025 09:28:48.681,  0.0
05.12.2025 09:28:52.671,  0.0
05.12.2025 09:28:56.761,  0.0
05.12.2025 09:29:00.761,  0.0
05.12.2025 09:29:04.671,  0.0
05.12.2025 09:29:08.681,  0.0
05.12.2025 09:29:12.841,  0.0
05.12.2025 09:29:16.761,  0.0
05.12.2025 09:29:20.801,  0.0
05.12.2025 09:29:24.681,  0.0
05.12.2025 09:29:28.801,  0.0
05.12.2025 09:29:32.681,  0.0
05.12.2025 09:29:36.801,  0.0
05.12.2025 09:29:40.761,  0.0
05.12.2025 09:29:44.761,  0.0
05.12.2025 09:29:48.681,  0.0
05.12.2025 09:29:52.671,  0.0
05.12.2025 09:29:56.761,  0.0
05.12.2025 09:30:00.681,  0.0
05.12.2025 09:30:04.761,  0.0
05.12.2025 09:30:08.682,  0.0
05.12.2025 09:30:12.671,  0.0
05.12.2025 09:30:16.671,  0.0
05.12.2025 09:30:20.681,  0.0
05.12.2025 09:30:24.761,  0.0
05.12.2025 09:30:28.841,  0.0
05.12.2025 09:30:32.671,  0.0
05.12.2025 09:30:36.881,  0.0
05.12.2025 09:30:40.671,  0.0
05.12.2025 09:30:44.682,  0.0
05.12.2025 09:30:48.681,  0.0
05.12.2025 09:30:52.671,  0.0
05.12.2025 09:30:56.681,  0.0
05.12.2025 09:31:00.681,  0.0
05.12.2025 09:31:04.681,  0.0
05.12.2025 09:31:08.741,  0.0
05.12.2025 09:31:12.691,  0.0
05.12.2025 09:31:16.692,  0.0
05.12.2025 09:31:20.691,  0.0
05.12.2025 09:31:24.701,  0.0
05.12.2025 09:31:28.701,  0.0
05.12.2025 09:31:32.791,  0.0
05.12.2025 09:31:36.791,  0.0
05.12.2025 09:31:40.691,  0.0
05.12.2025 09:31:44.701,  0.0
05.12.2025 09:31:48.691,  0.0
05.12.2025 09:31:52.701,  0.0
05.12.2025 09:31:56.701,  0.0
