Time,BKK_P.CURR
,Average
,
,mA
09.12.2025 11:10:05.708,  0.0
09.12.2025 11:53:03.722,  0.0
09.12.2025 11:53:08.332,  0.0
09.12.2025 11:53:11.722,  0.0
09.12.2025 11:53:15.732,  0.0
09.12.2025 11:53:19.732,  0.0
09.12.2025 11:53:23.722,  0.0
09.12.2025 11:53:27.722,  0.0
09.12.2025 11:53:31.732,  0.0
09.12.2025 11:53:35.732,  0.0
09.12.2025 11:53:39.722,  0.0
09.12.2025 11:53:43.722,  0.0
09.12.2025 11:53:47.732,  0.0
09.12.2025 11:53:51.733,  0.0
09.12.2025 11:53:55.722,  0.0
09.12.2025 11:53:59.732,  0.0
09.12.2025 11:54:03.732,  0.0
09.12.2025 11:54:07.722,  0.0
09.12.2025 11:54:11.732,  0.0
09.12.2025 11:54:15.722,  0.0
09.12.2025 11:54:19.732,  0.0
09.12.2025 11:54:23.892,  0.0
09.12.2025 11:54:27.722,  0.0
09.12.2025 11:54:31.732,  0.0
09.12.2025 11:54:35.733,  0.0
09.12.2025 11:54:39.732,  0.0
09.12.2025 11:54:43.733,  0.0
09.12.2025 11:54:47.732,  0.0
09.12.2025 11:54:51.722,  0.0
09.12.2025 11:54:55.722,  0.0
09.12.2025 11:54:59.732,  0.0
09.12.2025 11:55:03.722,  0.0
09.12.2025 11:55:07.760,  0.0
09.12.2025 11:55:11.760,  0.0
09.12.2025 11:55:15.761,  0.0
09.12.2025 11:55:19.750,  0.0
09.12.2025 11:55:23.760,  0.0
09.12.2025 11:55:27.750,  0.0
09.12.2025 11:55:31.761,  0.0
09.12.2025 11:55:35.750,  0.0
09.12.2025 11:55:39.760,  0.0
09.12.2025 11:55:43.750,  0.0
09.12.2025 11:55:47.760,  0.0
09.12.2025 11:55:51.760,  0.0
09.12.2025 11:55:55.750,  0.0
09.12.2025 11:55:59.760,  0.0
09.12.2025 11:56:03.750,  0.0
09.12.2025 11:56:07.760,  0.0
09.12.2025 11:56:11.750,  0.0
09.12.2025 11:56:15.750,  0.0
09.12.2025 11:56:19.760,  0.0
09.12.2025 11:56:23.760,  0.0
09.12.2025 11:56:27.760,  0.0
09.12.2025 11:56:31.761,  0.0
09.12.2025 11:56:35.750,  0.0
09.12.2025 11:56:39.760,  0.0
09.12.2025 11:56:43.761,  0.0
09.12.2025 11:56:47.760,  0.0
09.12.2025 11:56:51.760,  0.0
09.12.2025 11:56:55.760,  0.0
09.12.2025 11:56:59.760,  0.0
