Time,BKK_P.VOLT
,Average
,
,V
09.12.2025 11:10:05.708,  0.0
09.12.2025 11:53:04.942,  0.0
09.12.2025 11:53:08.732,  0.0
09.12.2025 11:53:12.722,  0.0
09.12.2025 11:53:16.732,  0.0
09.12.2025 11:53:20.732,  0.0
09.12.2025 11:53:24.732,  0.0
09.12.2025 11:53:28.732,  0.0
09.12.2025 11:53:32.732,  0.0
09.12.2025 11:53:36.733,  0.0
09.12.2025 11:53:40.812,  0.0
09.12.2025 11:53:44.732,  0.0
09.12.2025 11:53:48.732,  0.0
09.12.2025 11:53:52.722,  0.0
09.12.2025 11:53:56.732,  0.0
09.12.2025 11:54:00.732,  0.0
09.12.2025 11:54:04.722,  0.0
09.12.2025 11:54:08.732,  0.0
09.12.2025 11:54:12.732,  0.0
09.12.2025 11:54:16.732,  0.0
09.12.2025 11:54:20.722,  0.0
09.12.2025 11:54:24.722,  0.0
09.12.2025 11:54:28.752,  0.0
09.12.2025 11:54:32.732,  0.0
09.12.2025 11:54:36.812,  0.0
09.12.2025 11:54:40.812,  0.0
09.12.2025 11:54:44.932,  0.0
09.12.2025 11:54:48.733,  0.0
09.12.2025 11:54:52.732,  0.0
09.12.2025 11:54:56.722,  0.0
09.12.2025 11:55:00.722,  0.0
09.12.2025 11:55:04.732,  0.0
09.12.2025 11:55:08.760,  0.0
09.12.2025 11:55:12.750,  0.0
09.12.2025 11:55:16.871,  0.0
09.12.2025 11:55:20.760,  0.0
09.12.2025 11:55:24.760,  0.0
09.12.2025 11:55:28.870,  0.0
09.12.2025 11:55:32.870,  0.0
09.12.2025 11:55:36.760,  0.0
09.12.2025 11:55:40.870,  0.0
09.12.2025 11:55:44.750,  0.0
09.12.2025 11:55:48.870,  0.0
09.12.2025 11:55:52.760,  0.0
09.12.2025 11:55:56.750,  0.0
09.12.2025 11:56:00.860,  0.0
09.12.2025 11:56:04.750,  0.0
09.12.2025 11:56:08.750,  0.0
09.12.2025 11:56:12.860,  0.0
09.12.2025 11:56:16.860,  0.0
09.12.2025 11:56:20.750,  0.0
09.12.2025 11:56:24.760,  0.0
09.12.2025 11:56:28.750,  0.0
09.12.2025 11:56:32.750,  0.0
09.12.2025 11:56:36.760,  0.0
09.12.2025 11:56:40.750,  0.0
09.12.2025 11:56:44.860,  0.0
09.12.2025 11:56:48.860,  0.0
09.12.2025 11:56:52.750,  0.0
09.12.2025 11:56:56.760,  0.0
09.12.2025 11:57:00.860,  0.0
