Experiment #,Timestamp,temperature,residence_time,pressure,Measurement,Yield
1,2025-07-09 11:27:23,60.84443440871049,38.34347898661638,3.559382000545539,84.92679793333333,84.92679793333333
2,2025-07-09 11:42:34,51.858257107591925,64.58327528535912,2.199949831636006,89.45227463333335,89.45227463333335
3,2025-07-09 11:55:10,45.66620013846403,53.37086111390219,2.2857336358438816,95.05787693333332,95.05787693333332
4,2025-07-09 12:03:29,54.28998128269839,25.641157902710027,3.4439975445336497,91.16603136666669,91.16603136666669
5,2025-07-09 12:11:53,67.23487190570876,20.077876584101432,3.984423118582436,93.77107223333331,93.77107223333331
6,2025-07-09 13:14:41,52.78666793324725,81.1653160488281,2.014132610439435,92.80981623333334,92.80981623333334
7,2025-07-09 13:41:31,26.03780912686371,72.47746602583894,2.7997219434305114,90.5837814,90.5837814
8,2025-07-09 14:04:19,27.099954844612693,117.37555188414592,2.4655426808606085,91.6032553,91.6032553
9,2025-07-09 14:20:47,29.077289553976936,81.83860093330874,2.764923982534325,90.27812683333336,90.27812683333336
10,2025-07-09 14:42:48,69.24538986130548,66.676289324798,3.7198808134726415,96.7091759,96.7091759
11,2025-07-09 14:55:24,66.62790504935877,53.69281936084454,3.742751375111649,97.2502768,97.2502768
12,2025-07-09 15:22:58,37.93492677811754,84.52405976855518,3.787784412509642,90.78394373333332,90.78394373333332
13,2025-07-09 15:50:41,70.0,119.38445364328656,3.755967892825582,91.67141913333332,91.67141913333332
14,2025-07-09 15:58:25,70.0,45.05781015864383,3.728193605054959,96.79748616666666,96.79748616666666
15,2025-07-09 16:12:08,61.06112415821958,51.66896139124916,3.725586122691552,95.96022566666667,95.96022566666667
16,2025-07-10 10:08:33,70.0,46.599437326463836,3.7667229448953465,91.59818486666667,91.59818486666667
17,2025-07-10 10:15:32,67.27743731489399,20.0,3.739092614118088,93.10132263333334,93.10132263333334
18,2025-07-10 10:28:41,70.0,61.00349260722685,3.735443971049693,90.74124893333334,90.74124893333334
19,2025-07-10 10:42:03,60.775256638925974,53.07299139654879,4.0,93.2018896,93.2018896
20,2025-07-10 10:54:43,68.29426324877906,54.18384542414955,2.5544514374385225,94.6710209,94.6710209
