Experiment #,Timestamp,temperature,ratio_org_aq,residence_time,Yield,Concentration
1,2026-01-22 16:25:55,22.477532783143094,0.9807246197252679,67.37673249454178,42.319003945793845,0.4314206399012047
2,2026-01-22 16:41:50,29.508209267832193,1.4814916447243498,76.69915579966477,57.476230047288844,0.3875690741720853
3,2026-01-22 16:50:41,34.92284304125377,1.3230284825076524,27.471553838139258,54.21592205389787,0.40981133499672373
